"s"	"Fx"	"Fy"	"Fz"
0.26800	0.11276	-0.06638	-0.15762
0.26900	0.11292	-0.06668	-0.15762
0.27000	0.11307	-0.06531	-0.15778
0.27100	0.11307	-0.06470	-0.15671
0.27200	0.11307	-0.06592	-0.15808
0.27300	0.11353	-0.06653	-0.15854
0.27400	0.11307	-0.06500	-0.15808
0.27500	0.11383	-0.06668	-0.15900
0.27600	0.11368	-0.06653	-0.15671
0.27700	0.11292	-0.06607	-0.15732
0.27800	0.11185	-0.06699	-0.15732
0.27900	0.11185	-0.06577	-0.15533
0.28000	0.11322	-0.06683	-0.15854
0.28100	0.11353	-0.06622	-0.15945
0.28200	0.11353	-0.06653	-0.15808
0.28300	0.11276	-0.06744	-0.15793
0.28400	0.11276	-0.06500	-0.15732
0.28500	0.11398	-0.06561	-0.15762
0.28600	0.11414	-0.06500	-0.15793
0.28700	0.11307	-0.06668	-0.15823
0.28800	0.11276	-0.06577	-0.15823
0.28900	0.11292	-0.06638	-0.15717
0.29000	0.11353	-0.06729	-0.15869
0.29100	0.11292	-0.06699	-0.15823
0.29200	0.11368	-0.06683	-0.15747
0.29300	0.11398	-0.06683	-0.15747
0.29400	0.11490	-0.06683	-0.15762
0.29500	0.11414	-0.06622	-0.15854
0.29600	0.11383	-0.06470	-0.15793
0.29700	0.11429	-0.06699	-0.15717
0.29800	0.11215	-0.06561	-0.15839
0.29900	0.11276	-0.06699	-0.15793
0.30000	0.11246	-0.06668	-0.15869
0.30100	0.11292	-0.06607	-0.15747
0.30200	0.11322	-0.06622	-0.15701
0.30300	0.11368	-0.06561	-0.15778
0.30400	0.11322	-0.06561	-0.15869
0.30500	0.11307	-0.06622	-0.15762
0.30600	0.11383	-0.06638	-0.15671
0.30700	0.11292	-0.06470	-0.15976
0.30800	0.11307	-0.06561	-0.15778
0.30900	0.11307	-0.06592	-0.15656
0.31000	0.11230	-0.06653	-0.15717
0.31100	0.11353	-0.06622	-0.15793
0.31200	0.11307	-0.06592	-0.15656
0.31300	0.11276	-0.06516	-0.15762
0.31400	0.11307	-0.06516	-0.15762
0.31500	0.11368	-0.06516	-0.15793
0.31600	0.11398	-0.06668	-0.15701
0.31700	0.11414	-0.06546	-0.15778
0.31800	0.11246	-0.06531	-0.15656
0.31900	0.11276	-0.06577	-0.15808
0.32000	0.11276	-0.06638	-0.15762
0.32100	0.11276	-0.06531	-0.15701
0.32200	0.11276	-0.06546	-0.15747
0.32300	0.11353	-0.06500	-0.15778
0.32400	0.11337	-0.06653	-0.15762
0.32500	0.11261	-0.06470	-0.15701
0.32600	0.11398	-0.06546	-0.15854
0.32700	0.11261	-0.06668	-0.15701
0.32800	0.11459	-0.06470	-0.15762
0.32900	0.11353	-0.06500	-0.15686
0.33000	0.11353	-0.06668	-0.15839
0.33100	0.11276	-0.06500	-0.15884
0.33200	0.11353	-0.06668	-0.15839
0.33300	0.11414	-0.06775	-0.15808
0.33400	0.11307	-0.06485	-0.15778
0.33500	0.11490	-0.06653	-0.15671
0.33600	0.11353	-0.06561	-0.15594
0.33700	0.11398	-0.06622	-0.15686
0.33800	0.11292	-0.06699	-0.15747
0.33900	0.11307	-0.06531	-0.15640
0.34000	0.11292	-0.06561	-0.15656
0.34100	0.11246	-0.06531	-0.15839
0.34200	0.11322	-0.06668	-0.15717
0.34300	0.11215	-0.06500	-0.15823
0.34400	0.11307	-0.06500	-0.15915
0.34500	0.11459	-0.06516	-0.15793
0.34600	0.11307	-0.06622	-0.15732
0.34700	0.11261	-0.06470	-0.15686
0.34800	0.11185	-0.06638	-0.15762
0.34900	0.11276	-0.06683	-0.15839
0.35000	0.11169	-0.06592	-0.15732
0.35100	0.11261	-0.06439	-0.15793
0.35200	0.11398	-0.06638	-0.15854
0.35300	0.11292	-0.06378	-0.15732
0.35400	0.11307	-0.06577	-0.15717
0.35500	0.11322	-0.06683	-0.15671
0.35600	0.11383	-0.06607	-0.15778
0.35700	0.11230	-0.06668	-0.15808
0.35800	0.11307	-0.06607	-0.15793
0.35900	0.11353	-0.06699	-0.15625
0.36000	0.11185	-0.06744	-0.15762
0.36100	0.11414	-0.06622	-0.15778
0.36200	0.11368	-0.06607	-0.16068
0.36300	0.11292	-0.06668	-0.15778
0.36400	0.11246	-0.06561	-0.15884
0.36500	0.11230	-0.06561	-0.15869
0.36600	0.11292	-0.06653	-0.15701
0.36700	0.11307	-0.06577	-0.15854
0.36800	0.11307	-0.06577	-0.15762
0.36900	0.11185	-0.06699	-0.15656
0.37000	0.11368	-0.06638	-0.15778
0.37100	0.11307	-0.06592	-0.15686
0.37200	0.11368	-0.06546	-0.15930
0.37300	0.11368	-0.06577	-0.15839
0.37400	0.11398	-0.06531	-0.15869
0.37500	0.11353	-0.06622	-0.15839
0.37600	0.11398	-0.06622	-0.15762
0.37700	0.11276	-0.06485	-0.15625
0.37800	0.11429	-0.06683	-0.15732
0.37900	0.11505	-0.06638	-0.15701
0.38000	0.11307	-0.06546	-0.15808
0.38100	0.11398	-0.06439	-0.15762
0.38200	0.11368	-0.06592	-0.15717
0.38300	0.11383	-0.06668	-0.15778
0.38400	0.11261	-0.06561	-0.15778
0.38500	0.11414	-0.06607	-0.15686
0.38600	0.11169	-0.06714	-0.15701
